Item_Title,Item_Price,Shipping_Cost,Shipping_location,Rating
Apple iPad 5 (5th Gen -2017 Model) -32GB Gold - Wi-Fi + Cellular - Good,119.00,19.09,United States,NA
Apple iPad Pro 12.9 Inch 3rd - 256GB - Gray (Unlocked) (Read Description) AE1210,172.50,33.87,United States,4.5
Apple iPad mini 4 4th Gen 16GB 32GB 64GB 128GB Wi-Fi + 4G Cellular - Good,129.99 to 279.99,21.50,United States,5.0
Apple iPad Pro 12.9(3rd Gen) A2014 (WiFi + Cellular)256GB Space Gray (Excellent),575.00,25.36,United States,NA
New ListingApple 2020 iPad Pro 12.9 in 4th Generation 128GB (WIFI ONLY) Excellent,599.99,43.92,United States,NA
New Listing*AS-IS* Apple iPad Pro 10.5" A1709 64GB (WIFI) Space Gray Tablet,34.95,76.00,United States,NA
Apple iPad Air 4 - 64GB - Rose Gold (Wifi) (Read Description) AG1409,232.50,35.28,United States,5.0
Apple iPad Air 4 (4th Gen) (10.9 inch) - 64GB - 256GB Wi-Fi + Cellular - Good,429.00 to 549.00,21.92,United States,NA
iPad pro 12.9 2nd gen model A1670 256 Gb,349.99,40.68,United States,NA
NEW! Apple iPad Mini 6th Gen. (2021) - 64GB - All Colors - Wi-Fi,409.98,34.03,United States,5.0
Apple iPad 9th Gen 2021 | 64GB Space Gray | Wifi + Cellular Unlocked | Excellent,389.99,33.03,United States,5.0
NEW! 2022 Apple 11-inch iPad Pro (Wi-Fi 128GB) - Space Gray (4th Generation),699.98,38.38,United States,5.0
2021 Apple iPad 9th Gen 64/256GB WiFi 10.2" SHIPS SAME DAY!!!,315.00,34.16,United States,5.0
Apple iPad Pro (3rd Gen) (11 inch)  - perfect condition - LOCKED!,175.00,22.43,United States,NA
Apple iPad Pro 2 12.9" 64GB 256GB 512GB All Colors WiFi or Cellular - Acceptable,259.97 to 289.99,21.65,United States,NA
2021 Apple 10.2" iPad 9th Gen (Wi-Fi 64GB) Space Gray_New Sealed,309.88,23.98,United States,5.0
2022 Apple iPad Air 5th Gen 10.9-inch Apple M1 (Wi-Fi Blue 64GB / 256GB),479.00,41.08,United States,NA
New ListingApple iPad Pro 3rd Gen 256GB Wi-Fi + Cellular 2018 (A2014) 12.9  - Space Gray,287.00,53.70,United States,4.5
Apple - iPad mini (Latest Model) with Wi-Fi - 64GB (MULTIPLE COLORS AVAILABLE),459.00,40.61,United States,5.0
NEW Apple iPad 10.2 9th Gen 64GB WiFi BUNDLE + Stylus + Screen Protector,314.99,34.16,United States,NA
New ListingApple iPad Pro 1st Gen. 64GB Wi-Fi + 4G (Unlocked) 11" in - Space Gray,178.50,40.00,Denmark,4.5
Apple iPad Air 4th Gen. 256GB Wi-Fi 10.9 in - Rose Gold MYFX2LL/A see descript,305.00,36.99,United States,5.0
Apple iPad Air 1st WiFi + Cellular Unlocked 16GB 32GB 64GB 128GB - Good,74.99 to 199.99,19.55,United States,NA
Apple iPad Air 4th Gen 10.9 inch - 64GB Wi-Fi Only Green - Free Shipping!,285.00,33.46,United States,NA
Apple iPad Air 2 A1567 (WiFi + Cellular Unlocked) 64GB Space Gray (Very Good),130.00,19.25,United States,NA
Apple iPad 6th Gen A1954 (WiFi + Cellular Unlocked) 128GB Silver (Excellent),210.00,20.45,United States,5.0
